source	transformation	target
Leo beside Thomas runs	sem	 run ( leo ) & beside ( leo , thomas ) 
Quinn beside Peter meets Ned	sem	 meet ( quinn , ned ) & beside ( quinn , peter ) 
Claire beside Alice runs	sem	 run ( claire ) & beside ( claire , alice ) 
Xavier meets himself	sem	meet ( xavier , xavier )
Zack meets Xavier	sem	meet ( zack , xavier )
Xavier behind Olivia runs	sem	 run ( xavier ) & behind ( xavier , olivia ) 
Thomas beside Henry meets Zack	sem	 meet ( thomas , zack ) & beside ( thomas , henry ) 
Willow dreams	sem	dream ( willow )
Thomas sees Grace	sem	see ( thomas , grace )
Ellie by Victor knows herself	sem	 know ( ellie , ellie ) & by ( ellie , victor ) 
Peter sees Xavier	sem	see ( peter , xavier )
Sarah meets Ron	sem	meet ( sarah , ron )
Zack by Grace sings	sem	 sing ( zack ) & by ( zack , grace ) 
Ron beside Grace dreams	sem	 dream ( ron ) & beside ( ron , grace ) 
Leo behind Thomas hears Peter	sem	 hear ( leo , peter ) & behind ( leo , thomas ) 
Bob by Ellie dreams	sem	 dream ( bob ) & by ( bob , ellie ) 
Ron knows himself	sem	know ( ron , ron )
Ron by Peter sleeps	sem	 sleep ( ron ) & by ( ron , peter ) 
Ned believes Daniel	sem	believe ( ned , daniel )
Olivia knows Mary	sem	know ( olivia , mary )
Thomas beside Ynez knows himself	sem	 know ( thomas , thomas ) & beside ( thomas , ynez ) 
Bob sees Alice	sem	see ( bob , alice )
Daniel behind John sees himself	sem	 see ( daniel , daniel ) & behind ( daniel , john ) 
Mary by Isla dreams	sem	 dream ( mary ) & by ( mary , isla ) 
Kate near Willow runs	sem	 run ( kate ) & near ( kate , willow ) 
Zack sleeps	sem	sleep ( zack )
John sings	sem	sing ( john )
Leo knows himself	sem	know ( leo , leo )
Olivia beside Henry knows Sarah	sem	 know ( olivia , sarah ) & beside ( olivia , henry ) 
Willow behind Leo hears Leo	sem	 hear ( willow , leo ) & behind ( willow , leo ) 
Xavier near Grace sleeps	sem	 sleep ( xavier ) & near ( xavier , grace ) 
Alice sees Thomas	sem	see ( alice , thomas )
Mary sleeps	sem	sleep ( mary )
John meets Claire	sem	meet ( john , claire )
Zack runs	sem	run ( zack )
Quinn knows Grace	sem	know ( quinn , grace )
Claire beside Alice knows herself	sem	 know ( claire , claire ) & beside ( claire , alice ) 
Claire by Ellie runs	sem	 run ( claire ) & by ( claire , ellie ) 
Henry believes himself	sem	believe ( henry , henry )
Ynez sees herself	sem	see ( ynez , ynez )
Victor near Claire sees Isla	sem	 see ( victor , isla ) & near ( victor , claire ) 
Willow behind Ursa meets Grace	sem	 meet ( willow , grace ) & behind ( willow , ursa ) 
Xavier sings	sem	sing ( xavier )
Ned believes Grace	sem	believe ( ned , grace )
Leo believes Sarah	sem	believe ( leo , sarah )
Alice sees herself	sem	see ( alice , alice )
Henry by Peter dances	sem	 dance ( henry ) & by ( henry , peter ) 
Alice dreams	sem	dream ( alice )
Mary believes Ursa	sem	believe ( mary , ursa )
Olivia near Xavier hears Grace	sem	 hear ( olivia , grace ) & near ( olivia , xavier ) 
Willow dances	sem	dance ( willow )
John beside Alice meets himself	sem	 meet ( john , john ) & beside ( john , alice ) 
Ellie knows Zack	sem	know ( ellie , zack )
Xavier sees himself	sem	see ( xavier , xavier )
Zack knows Thomas	sem	know ( zack , thomas )
Bob beside Ellie runs	sem	 run ( bob ) & beside ( bob , ellie ) 
Peter knows himself	sem	know ( peter , peter )
Victor near Alice believes himself	sem	 believe ( victor , victor ) & near ( victor , alice ) 
Willow hears herself	sem	hear ( willow , willow )
Henry behind Xavier believes Kate	sem	 believe ( henry , kate ) & behind ( henry , xavier ) 
Henry sleeps	sem	sleep ( henry )
Thomas beside Grace hears himself	sem	 hear ( thomas , thomas ) & beside ( thomas , grace ) 
John knows Ynez	sem	know ( john , ynez )
Thomas behind Peter sings	sem	 sing ( thomas ) & behind ( thomas , peter ) 
Sarah meets Quinn	sem	meet ( sarah , quinn )
Thomas near Kate believes Kate	sem	 believe ( thomas , kate ) & near ( thomas , kate ) 
Victor beside Ron meets Ned	sem	 meet ( victor , ned ) & beside ( victor , ron ) 
Ellie beside Ron sings	sem	 sing ( ellie ) & beside ( ellie , ron ) 
Ellie beside Henry sings	sem	 sing ( ellie ) & beside ( ellie , henry ) 
Ursa by Daniel runs	sem	 run ( ursa ) & by ( ursa , daniel ) 
Grace dances	sem	dance ( grace )
Olivia near Grace sings	sem	 sing ( olivia ) & near ( olivia , grace ) 
Mary behind Ron sleeps	sem	 sleep ( mary ) & behind ( mary , ron ) 
Alice sings	sem	sing ( alice )
Zack by Quinn dreams	sem	 dream ( zack ) & by ( zack , quinn ) 
Frank knows Ellie	sem	know ( frank , ellie )
Ned knows Xavier	sem	know ( ned , xavier )
Peter sees Alice	sem	see ( peter , alice )
Victor sees Olivia	sem	see ( victor , olivia )
Ron sings	sem	sing ( ron )
Thomas meets himself	sem	meet ( thomas , thomas )
Olivia knows Daniel	sem	know ( olivia , daniel )
Ron hears Ynez	sem	hear ( ron , ynez )
John believes himself	sem	believe ( john , john )
Ursa sings	sem	sing ( ursa )
Ursa runs	sem	run ( ursa )
Sarah beside Grace runs	sem	 run ( sarah ) & beside ( sarah , grace ) 
John sleeps	sem	sleep ( john )
Ellie hears herself	sem	hear ( ellie , ellie )
Isla near Willow dreams	sem	 dream ( isla ) & near ( isla , willow ) 
Grace near Xavier knows herself	sem	 know ( grace , grace ) & near ( grace , xavier ) 
Quinn behind Henry believes Alice	sem	 believe ( quinn , alice ) & behind ( quinn , henry ) 
Victor knows Ron	sem	know ( victor , ron )
Thomas beside Alice sees himself	sem	 see ( thomas , thomas ) & beside ( thomas , alice ) 
Ellie by Quinn hears Bob	sem	 hear ( ellie , bob ) & by ( ellie , quinn ) 
Thomas hears Ellie	sem	hear ( thomas , ellie )
Peter behind Claire hears Frank	sem	 hear ( peter , frank ) & behind ( peter , claire ) 
Alice believes John	sem	believe ( alice , john )
Kate near Willow dances	sem	 dance ( kate ) & near ( kate , willow ) 
Alice by Bob hears Ron	sem	 hear ( alice , ron ) & by ( alice , bob ) 
Ursa by Ursa hears herself	sem	 hear ( ursa , ursa ) & by ( ursa , ursa ) 
Grace near Kate hears herself	sem	 hear ( grace , grace ) & near ( grace , kate ) 
Zack believes John	sem	believe ( zack , john )
Bob behind Kate sees Ynez	sem	 see ( bob , ynez ) & behind ( bob , kate ) 
Xavier dreams	sem	dream ( xavier )
Ellie knows Victor	sem	know ( ellie , victor )
Mary near John hears Henry	sem	 hear ( mary , henry ) & near ( mary , john ) 
Leo behind Quinn knows Daniel	sem	 know ( leo , daniel ) & behind ( leo , quinn ) 
Claire believes Frank	sem	believe ( claire , frank )
Ned sees Mary	sem	see ( ned , mary )
Ynez by Ursa meets Isla	sem	 meet ( ynez , isla ) & by ( ynez , ursa ) 
Ellie near Alice hears Claire	sem	 hear ( ellie , claire ) & near ( ellie , alice ) 
Grace knows Leo	sem	know ( grace , leo )
Sarah runs	sem	run ( sarah )
Quinn near Zack runs	sem	 run ( quinn ) & near ( quinn , zack ) 
Alice believes Victor	sem	believe ( alice , victor )
Victor hears Ursa	sem	hear ( victor , ursa )
Claire sees Ynez	sem	see ( claire , ynez )
Ron believes himself	sem	believe ( ron , ron )
Sarah meets herself	sem	meet ( sarah , sarah )
Ellie near Ellie hears Ynez	sem	 hear ( ellie , ynez ) & near ( ellie , ellie ) 
Peter behind Ned sees John	sem	 see ( peter , john ) & behind ( peter , ned ) 
Kate near Alice knows Victor	sem	 know ( kate , victor ) & near ( kate , alice ) 
Alice behind Olivia sleeps	sem	 sleep ( alice ) & behind ( alice , olivia ) 
Ellie beside Frank sees Olivia	sem	 see ( ellie , olivia ) & beside ( ellie , frank ) 
Daniel meets himself	sem	meet ( daniel , daniel )
Zack beside Grace meets himself	sem	 meet ( zack , zack ) & beside ( zack , grace ) 
Ron runs	sem	run ( ron )
Daniel sleeps	sem	sleep ( daniel )
Olivia hears Zack	sem	hear ( olivia , zack )
Ellie behind Leo believes Xavier	sem	 believe ( ellie , xavier ) & behind ( ellie , leo ) 
Frank by Ned runs	sem	 run ( frank ) & by ( frank , ned ) 
Isla beside Leo believes Ellie	sem	 believe ( isla , ellie ) & beside ( isla , leo ) 
Daniel hears himself	sem	hear ( daniel , daniel )
Daniel beside Mary hears Ursa	sem	 hear ( daniel , ursa ) & beside ( daniel , mary ) 
Willow sleeps	sem	sleep ( willow )
Willow by John believes Sarah	sem	 believe ( willow , sarah ) & by ( willow , john ) 
Henry meets himself	sem	meet ( henry , henry )
Victor sleeps	sem	sleep ( victor )
Kate beside Daniel dances	sem	 dance ( kate ) & beside ( kate , daniel ) 
Leo runs	sem	run ( leo )
Quinn meets Thomas	sem	meet ( quinn , thomas )
Alice by Isla sees herself	sem	 see ( alice , alice ) & by ( alice , isla ) 
Willow beside Daniel sleeps	sem	 sleep ( willow ) & beside ( willow , daniel ) 
Quinn hears herself	sem	hear ( quinn , quinn )
John behind Ellie meets Alice	sem	 meet ( john , alice ) & behind ( john , ellie ) 
Olivia knows Ron	sem	know ( olivia , ron )
Ynez beside Ynez dances	sem	 dance ( ynez ) & beside ( ynez , ynez ) 
Ron hears Peter	sem	hear ( ron , peter )
Thomas by Isla dances	sem	 dance ( thomas ) & by ( thomas , isla ) 
Claire believes Frank	sem	believe ( claire , frank )
Sarah sees Henry	sem	see ( sarah , henry )
Henry by Leo runs	sem	 run ( henry ) & by ( henry , leo ) 
Willow believes Daniel	sem	believe ( willow , daniel )
Henry sees himself	sem	see ( henry , henry )
Sarah near Ellie sleeps	sem	 sleep ( sarah ) & near ( sarah , ellie ) 
Alice sings	sem	sing ( alice )
Alice believes herself	sem	believe ( alice , alice )
Daniel dreams	sem	dream ( daniel )
Olivia by Olivia sings	sem	 sing ( olivia ) & by ( olivia , olivia ) 
Sarah meets Ursa	sem	meet ( sarah , ursa )
Ned near Frank knows himself	sem	 know ( ned , ned ) & near ( ned , frank ) 
Bob by Frank runs	sem	 run ( bob ) & by ( bob , frank ) 
Bob sees himself	sem	see ( bob , bob )
Bob knows Henry	sem	know ( bob , henry )
Ellie believes herself	sem	believe ( ellie , ellie )
Olivia meets Henry	sem	meet ( olivia , henry )
Grace near Olivia dances	sem	 dance ( grace ) & near ( grace , olivia ) 
Leo believes Alice	sem	believe ( leo , alice )
Claire behind Daniel sleeps	sem	 sleep ( claire ) & behind ( claire , daniel ) 
Olivia by Isla sings	sem	 sing ( olivia ) & by ( olivia , isla ) 
Zack behind Ned meets Bob	sem	 meet ( zack , bob ) & behind ( zack , ned ) 
Ynez meets Bob	sem	meet ( ynez , bob )
Grace sleeps	sem	sleep ( grace )
Ursa by Ellie meets herself	sem	 meet ( ursa , ursa ) & by ( ursa , ellie ) 
Zack near Leo meets Mary	sem	 meet ( zack , mary ) & near ( zack , leo ) 
Grace beside Ursa knows herself	sem	 know ( grace , grace ) & beside ( grace , ursa ) 
Xavier beside Olivia dances	sem	 dance ( xavier ) & beside ( xavier , olivia ) 
Bob near Bob sees himself	sem	 see ( bob , bob ) & near ( bob , bob ) 
Quinn meets Ursa	sem	meet ( quinn , ursa )
Ursa believes Bob	sem	believe ( ursa , bob )
Zack near Sarah hears Mary	sem	 hear ( zack , mary ) & near ( zack , sarah ) 
Frank behind Victor hears Ron	sem	 hear ( frank , ron ) & behind ( frank , victor ) 
Mary knows herself	sem	know ( mary , mary )
Bob knows himself	sem	know ( bob , bob )
Mary by Zack knows Ned	sem	 know ( mary , ned ) & by ( mary , zack ) 
John knows himself	sem	know ( john , john )
Ynez by Sarah knows Ursa	sem	 know ( ynez , ursa ) & by ( ynez , sarah ) 
Ynez meets Bob	sem	meet ( ynez , bob )
Thomas hears Henry	sem	hear ( thomas , henry )
Ynez by Ellie sings	sem	 sing ( ynez ) & by ( ynez , ellie ) 
Mary by Sarah meets Bob	sem	 meet ( mary , bob ) & by ( mary , sarah ) 
Willow behind Xavier sleeps	sem	 sleep ( willow ) & behind ( willow , xavier ) 
Daniel hears himself	sem	hear ( daniel , daniel )
Daniel by Mary dreams	sem	 dream ( daniel ) & by ( daniel , mary ) 
Willow knows herself	sem	know ( willow , willow )
Zack sees Leo	sem	see ( zack , leo )
Sarah hears Henry	sem	hear ( sarah , henry )
Olivia by Sarah runs	sem	 run ( olivia ) & by ( olivia , sarah ) 
Xavier beside Alice believes himself	sem	 believe ( xavier , xavier ) & beside ( xavier , alice ) 
Frank sees himself	sem	see ( frank , frank )
Victor hears Isla	sem	hear ( victor , isla )
John behind Xavier knows Henry	sem	 know ( john , henry ) & behind ( john , xavier ) 
Ron meets Thomas	sem	meet ( ron , thomas )
Ellie behind John runs	sem	 run ( ellie ) & behind ( ellie , john ) 
Ursa believes herself	sem	believe ( ursa , ursa )
Victor knows Ron	sem	know ( victor , ron )
Sarah knows Peter	sem	know ( sarah , peter )
Olivia hears herself	sem	hear ( olivia , olivia )
Grace believes herself	sem	believe ( grace , grace )
Claire sings	sem	sing ( claire )
Zack meets Quinn	sem	meet ( zack , quinn )
Victor knows Peter	sem	know ( victor , peter )
Quinn behind Peter believes Bob	sem	 believe ( quinn , bob ) & behind ( quinn , peter ) 
Bob hears himself	sem	hear ( bob , bob )
Alice by Leo runs	sem	 run ( alice ) & by ( alice , leo ) 
Daniel runs	sem	run ( daniel )
Sarah sings	sem	sing ( sarah )
Isla by Quinn sees herself	sem	 see ( isla , isla ) & by ( isla , quinn ) 
Frank sleeps	sem	sleep ( frank )
Grace hears Ynez	sem	hear ( grace , ynez )
Henry sings	sem	sing ( henry )
Mary runs	sem	run ( mary )
John hears Quinn	sem	hear ( john , quinn )
Bob hears Frank	sem	hear ( bob , frank )
Ellie meets Isla	sem	meet ( ellie , isla )
Kate meets Ellie	sem	meet ( kate , ellie )
Daniel sings	sem	sing ( daniel )
Olivia believes herself	sem	believe ( olivia , olivia )
Sarah dances	sem	dance ( sarah )
Bob sees himself	sem	see ( bob , bob )
Thomas beside Daniel dances	sem	 dance ( thomas ) & beside ( thomas , daniel ) 
Bob knows Daniel	sem	know ( bob , daniel )
Daniel sleeps	sem	sleep ( daniel )
Ned behind Ynez hears himself	sem	 hear ( ned , ned ) & behind ( ned , ynez ) 
Ned dances	sem	dance ( ned )
Ron near Ynez hears Sarah	sem	 hear ( ron , sarah ) & near ( ron , ynez ) 
Daniel knows himself	sem	know ( daniel , daniel )
Claire near Frank hears herself	sem	 hear ( claire , claire ) & near ( claire , frank ) 
Kate by Quinn sings	sem	 sing ( kate ) & by ( kate , quinn ) 
Frank beside Victor believes Thomas	sem	 believe ( frank , thomas ) & beside ( frank , victor ) 
Quinn by Grace dances	sem	 dance ( quinn ) & by ( quinn , grace ) 
Henry by Ellie meets Frank	sem	 meet ( henry , frank ) & by ( henry , ellie ) 
Quinn near Zack runs	sem	 run ( quinn ) & near ( quinn , zack ) 
Daniel sings	sem	sing ( daniel )
Leo behind Frank knows Daniel	sem	 know ( leo , daniel ) & behind ( leo , frank ) 
Isla beside Henry knows Kate	sem	 know ( isla , kate ) & beside ( isla , henry ) 
Ynez behind Leo meets Daniel	sem	 meet ( ynez , daniel ) & behind ( ynez , leo ) 
Ned meets Peter	sem	meet ( ned , peter )
Bob sees Ynez	sem	see ( bob , ynez )
Olivia believes Grace	sem	believe ( olivia , grace )
Ron beside Bob believes himself	sem	 believe ( ron , ron ) & beside ( ron , bob ) 
Zack hears himself	sem	hear ( zack , zack )
Xavier sings	sem	sing ( xavier )
Leo dances	sem	dance ( leo )
Ynez meets Ellie	sem	meet ( ynez , ellie )
Alice sleeps	sem	sleep ( alice )
Isla sleeps	sem	sleep ( isla )
Ursa sings	sem	sing ( ursa )
John near Bob hears himself	sem	 hear ( john , john ) & near ( john , bob ) 
Victor knows himself	sem	know ( victor , victor )
John beside Sarah meets himself	sem	 meet ( john , john ) & beside ( john , sarah ) 
John beside Mary knows himself	sem	 know ( john , john ) & beside ( john , mary ) 
Henry believes Olivia	sem	believe ( henry , olivia )
Zack near Henry sees John	sem	 see ( zack , john ) & near ( zack , henry ) 
Daniel meets Quinn	sem	meet ( daniel , quinn )
Mary hears Grace	sem	hear ( mary , grace )
Bob sees Mary	sem	see ( bob , mary )
Frank sees Xavier	sem	see ( frank , xavier )
Bob knows Isla	sem	know ( bob , isla )
Zack by John sees himself	sem	 see ( zack , zack ) & by ( zack , john ) 
Kate near Isla hears Willow	sem	 hear ( kate , willow ) & near ( kate , isla ) 
Ellie beside Mary hears Bob	sem	 hear ( ellie , bob ) & beside ( ellie , mary ) 
Alice meets herself	sem	meet ( alice , alice )
Grace runs	sem	run ( grace )
Ursa by Ron hears herself	sem	 hear ( ursa , ursa ) & by ( ursa , ron ) 
Victor behind Peter sings	sem	 sing ( victor ) & behind ( victor , peter ) 
Quinn believes Thomas	sem	believe ( quinn , thomas )
Xavier meets himself	sem	meet ( xavier , xavier )
Sarah sleeps	sem	sleep ( sarah )
