source	transformation	target
Grace beside Ron sees herself	sem	 see ( grace , grace ) & beside ( grace , ron ) 
Grace sees Ursa	sem	see ( grace , ursa )
Henry by Ynez sees Frank	sem	 see ( henry , frank ) & by ( henry , ynez ) 
Victor beside Claire sees Claire	sem	 see ( victor , claire ) & beside ( victor , claire ) 
Claire runs	sem	run ( claire )
Claire runs	sem	run ( claire )
Quinn runs	sem	run ( quinn )
Zack by Mary sees himself	sem	 see ( zack , zack ) & by ( zack , mary ) 
Mary beside Willow sees Henry	sem	 see ( mary , henry ) & beside ( mary , willow ) 
Leo sees Thomas	sem	see ( leo , thomas )
Alice sees Grace	sem	see ( alice , grace )
Henry sees himself	sem	see ( henry , henry )
Kate sees Peter	sem	see ( kate , peter )
Thomas beside Bob sees Grace	sem	 see ( thomas , grace ) & beside ( thomas , bob ) 
Grace behind Thomas sees Alice	sem	 see ( grace , alice ) & behind ( grace , thomas ) 
Quinn sees herself	sem	see ( quinn , quinn )
Isla sees herself	sem	see ( isla , isla )
Olivia behind Kate sees Ursa	sem	 see ( olivia , ursa ) & behind ( olivia , kate ) 
Willow runs	sem	run ( willow )
Mary sees Victor	sem	see ( mary , victor )
Frank sees Daniel	sem	see ( frank , daniel )
Sarah sees Ursa	sem	see ( sarah , ursa )
Ned beside Claire sees Claire	sem	 see ( ned , claire ) & beside ( ned , claire ) 
Henry sees Ron	sem	see ( henry , ron )
Ron behind Leo runs	sem	 run ( ron ) & behind ( ron , leo ) 
Thomas near Henry sees himself	sem	 see ( thomas , thomas ) & near ( thomas , henry ) 
Peter runs	sem	run ( peter )
Frank behind Ursa sees himself	sem	 see ( frank , frank ) & behind ( frank , ursa ) 
Ron sees Mary	sem	see ( ron , mary )
Frank sees Daniel	sem	see ( frank , daniel )
Ned runs	sem	run ( ned )
Willow beside Ynez runs	sem	 run ( willow ) & beside ( willow , ynez ) 
Ursa sees herself	sem	see ( ursa , ursa )
Claire sees Sarah	sem	see ( claire , sarah )
Bob behind Bob runs	sem	 run ( bob ) & behind ( bob , bob ) 
Ned runs	sem	run ( ned )
Xavier sees himself	sem	see ( xavier , xavier )
Mary beside Zack sees herself	sem	 see ( mary , mary ) & beside ( mary , zack ) 
Frank sees Ynez	sem	see ( frank , ynez )
Isla sees Frank	sem	see ( isla , frank )
Claire runs	sem	run ( claire )
Ynez sees herself	sem	see ( ynez , ynez )
Ellie sees herself	sem	see ( ellie , ellie )
Claire sees Daniel	sem	see ( claire , daniel )
Isla sees Ned	sem	see ( isla , ned )
Daniel sees Olivia	sem	see ( daniel , olivia )
Sarah beside John sees herself	sem	 see ( sarah , sarah ) & beside ( sarah , john ) 
Xavier runs	sem	run ( xavier )
Kate by Bob sees herself	sem	 see ( kate , kate ) & by ( kate , bob ) 
Sarah near Ursa sees Quinn	sem	 see ( sarah , quinn ) & near ( sarah , ursa ) 
Ellie by Daniel runs	sem	 run ( ellie ) & by ( ellie , daniel ) 
Olivia runs	sem	run ( olivia )
Daniel sees Thomas	sem	see ( daniel , thomas )
Mary behind Leo runs	sem	 run ( mary ) & behind ( mary , leo ) 
Daniel sees Ellie	sem	see ( daniel , ellie )
Isla sees herself	sem	see ( isla , isla )
Zack behind Grace sees Ellie	sem	 see ( zack , ellie ) & behind ( zack , grace ) 
Claire behind Thomas sees Alice	sem	 see ( claire , alice ) & behind ( claire , thomas ) 
Thomas behind John runs	sem	 run ( thomas ) & behind ( thomas , john ) 
Xavier beside Mary runs	sem	 run ( xavier ) & beside ( xavier , mary ) 
Sarah sees Ursa	sem	see ( sarah , ursa )
Alice sees Olivia	sem	see ( alice , olivia )
Grace sees Sarah	sem	see ( grace , sarah )
Daniel sees Leo	sem	see ( daniel , leo )
Bob sees Isla	sem	see ( bob , isla )
Zack behind Ron runs	sem	 run ( zack ) & behind ( zack , ron ) 
Olivia behind John runs	sem	 run ( olivia ) & behind ( olivia , john ) 
Sarah sees herself	sem	see ( sarah , sarah )
Mary beside Alice sees Quinn	sem	 see ( mary , quinn ) & beside ( mary , alice ) 
Victor behind Victor sees himself	sem	 see ( victor , victor ) & behind ( victor , victor ) 
Bob runs	sem	run ( bob )
Victor sees himself	sem	see ( victor , victor )
Alice beside Quinn runs	sem	 run ( alice ) & beside ( alice , quinn ) 
Grace runs	sem	run ( grace )
Quinn beside Mary runs	sem	 run ( quinn ) & beside ( quinn , mary ) 
Grace sees herself	sem	see ( grace , grace )
Ellie sees herself	sem	see ( ellie , ellie )
Ron sees himself	sem	see ( ron , ron )
Isla runs	sem	run ( isla )
Mary beside Ursa sees Ellie	sem	 see ( mary , ellie ) & beside ( mary , ursa ) 
Xavier sees Peter	sem	see ( xavier , peter )
Sarah sees Claire	sem	see ( sarah , claire )
Ned near Quinn runs	sem	 run ( ned ) & near ( ned , quinn ) 
Leo sees Ynez	sem	see ( leo , ynez )
Alice behind Isla sees herself	sem	 see ( alice , alice ) & behind ( alice , isla ) 
Victor sees himself	sem	see ( victor , victor )
Ellie sees herself	sem	see ( ellie , ellie )
Peter beside Ursa runs	sem	 run ( peter ) & beside ( peter , ursa ) 
Grace runs	sem	run ( grace )
Alice near Isla sees Bob	sem	 see ( alice , bob ) & near ( alice , isla ) 
Alice runs	sem	run ( alice )
Quinn beside Bob sees Willow	sem	 see ( quinn , willow ) & beside ( quinn , bob ) 
Quinn runs	sem	run ( quinn )
Mary near Ursa sees Victor	sem	 see ( mary , victor ) & near ( mary , ursa ) 
Leo near John runs	sem	 run ( leo ) & near ( leo , john ) 
Leo runs	sem	run ( leo )
Claire beside Ursa sees Claire	sem	 see ( claire , claire ) & beside ( claire , ursa ) 
Willow runs	sem	run ( willow )
John sees Zack	sem	see ( john , zack )
Isla by Grace runs	sem	 run ( isla ) & by ( isla , grace ) 
Willow by Bob runs	sem	 run ( willow ) & by ( willow , bob ) 
Ned sees Xavier	sem	see ( ned , xavier )
Alice beside Claire runs	sem	 run ( alice ) & beside ( alice , claire ) 
Daniel by Frank sees Ned	sem	 see ( daniel , ned ) & by ( daniel , frank ) 
Claire sees Willow	sem	see ( claire , willow )
Ynez sees Willow	sem	see ( ynez , willow )
Mary runs	sem	run ( mary )
Leo near Grace runs	sem	 run ( leo ) & near ( leo , grace ) 
Bob beside Olivia sees Claire	sem	 see ( bob , claire ) & beside ( bob , olivia ) 
Peter sees Ynez	sem	see ( peter , ynez )
Ynez behind Xavier runs	sem	 run ( ynez ) & behind ( ynez , xavier ) 
Isla near Ron sees Victor	sem	 see ( isla , victor ) & near ( isla , ron ) 
Frank near Ellie sees Quinn	sem	 see ( frank , quinn ) & near ( frank , ellie ) 
Daniel sees Ron	sem	see ( daniel , ron )
Ellie by Ellie runs	sem	 run ( ellie ) & by ( ellie , ellie ) 
John behind Thomas sees himself	sem	 see ( john , john ) & behind ( john , thomas ) 
Ned sees Thomas	sem	see ( ned , thomas )
Grace runs	sem	run ( grace )
Willow sees Mary	sem	see ( willow , mary )
Willow near Grace sees Xavier	sem	 see ( willow , xavier ) & near ( willow , grace ) 
Claire runs	sem	run ( claire )
Kate beside Kate sees Xavier	sem	 see ( kate , xavier ) & beside ( kate , kate ) 
Sarah near Alice sees Olivia	sem	 see ( sarah , olivia ) & near ( sarah , alice ) 
Alice by Victor runs	sem	 run ( alice ) & by ( alice , victor ) 
Frank runs	sem	run ( frank )
John sees himself	sem	see ( john , john )
Victor sees Frank	sem	see ( victor , frank )
Ursa sees herself	sem	see ( ursa , ursa )
Thomas runs	sem	run ( thomas )
Sarah sees Ursa	sem	see ( sarah , ursa )
John sees himself	sem	see ( john , john )
Quinn beside Grace sees herself	sem	 see ( quinn , quinn ) & beside ( quinn , grace ) 
Kate sees herself	sem	see ( kate , kate )
Zack sees Victor	sem	see ( zack , victor )
Willow sees Victor	sem	see ( willow , victor )
Claire sees Ynez	sem	see ( claire , ynez )
Ynez sees herself	sem	see ( ynez , ynez )
Ellie runs	sem	run ( ellie )
Isla sees herself	sem	see ( isla , isla )
Isla near Victor sees herself	sem	 see ( isla , isla ) & near ( isla , victor ) 
Alice runs	sem	run ( alice )
Leo sees Kate	sem	see ( leo , kate )
Daniel sees himself	sem	see ( daniel , daniel )
Henry runs	sem	run ( henry )
Ynez beside Peter sees Leo	sem	 see ( ynez , leo ) & beside ( ynez , peter ) 
Grace near Alice runs	sem	 run ( grace ) & near ( grace , alice ) 
Claire sees herself	sem	see ( claire , claire )
Daniel beside Alice sees Ellie	sem	 see ( daniel , ellie ) & beside ( daniel , alice ) 
Alice sees Kate	sem	see ( alice , kate )
John sees Ynez	sem	see ( john , ynez )
Daniel behind Alice sees himself	sem	 see ( daniel , daniel ) & behind ( daniel , alice ) 
Willow sees Daniel	sem	see ( willow , daniel )
Kate by Alice sees Zack	sem	 see ( kate , zack ) & by ( kate , alice ) 
Ned by Leo runs	sem	 run ( ned ) & by ( ned , leo ) 
Frank sees Zack	sem	see ( frank , zack )
Claire near Willow sees herself	sem	 see ( claire , claire ) & near ( claire , willow ) 
Quinn behind Claire runs	sem	 run ( quinn ) & behind ( quinn , claire ) 
Ursa by Ellie runs	sem	 run ( ursa ) & by ( ursa , ellie ) 
Henry behind Frank sees John	sem	 see ( henry , john ) & behind ( henry , frank ) 
Zack sees Daniel	sem	see ( zack , daniel )
Peter near Frank sees Daniel	sem	 see ( peter , daniel ) & near ( peter , frank ) 
Claire runs	sem	run ( claire )
Henry near Ynez sees Olivia	sem	 see ( henry , olivia ) & near ( henry , ynez ) 
Olivia near Xavier sees Kate	sem	 see ( olivia , kate ) & near ( olivia , xavier ) 
Kate near Kate runs	sem	 run ( kate ) & near ( kate , kate ) 
Xavier beside Grace runs	sem	 run ( xavier ) & beside ( xavier , grace ) 
Leo runs	sem	run ( leo )
Ellie behind Victor sees herself	sem	 see ( ellie , ellie ) & behind ( ellie , victor ) 
Thomas sees Daniel	sem	see ( thomas , daniel )
Alice behind Willow runs	sem	 run ( alice ) & behind ( alice , willow ) 
Olivia sees Kate	sem	see ( olivia , kate )
Thomas sees Leo	sem	see ( thomas , leo )
Kate runs	sem	run ( kate )
Isla behind Bob sees herself	sem	 see ( isla , isla ) & behind ( isla , bob ) 
Alice runs	sem	run ( alice )
Sarah near Thomas sees herself	sem	 see ( sarah , sarah ) & near ( sarah , thomas ) 
Leo by Alice sees himself	sem	 see ( leo , leo ) & by ( leo , alice ) 
Ellie beside Quinn runs	sem	 run ( ellie ) & beside ( ellie , quinn ) 
Thomas runs	sem	run ( thomas )
Ynez beside Ron runs	sem	 run ( ynez ) & beside ( ynez , ron ) 
Frank near Leo runs	sem	 run ( frank ) & near ( frank , leo ) 
Henry by Grace sees himself	sem	 see ( henry , henry ) & by ( henry , grace ) 
Ursa runs	sem	run ( ursa )
Alice beside Grace runs	sem	 run ( alice ) & beside ( alice , grace ) 
Daniel beside Claire runs	sem	 run ( daniel ) & beside ( daniel , claire ) 
Sarah by Alice runs	sem	 run ( sarah ) & by ( sarah , alice ) 
Willow sees Ursa	sem	see ( willow , ursa )
Zack sees Leo	sem	see ( zack , leo )
Willow sees herself	sem	see ( willow , willow )
Willow near Claire runs	sem	 run ( willow ) & near ( willow , claire ) 
Frank runs	sem	run ( frank )
Thomas by Quinn runs	sem	 run ( thomas ) & by ( thomas , quinn ) 
Ron runs	sem	run ( ron )
John beside Alice sees Peter	sem	 see ( john , peter ) & beside ( john , alice ) 
Bob by Ursa runs	sem	 run ( bob ) & by ( bob , ursa ) 
Peter by Ynez sees himself	sem	 see ( peter , peter ) & by ( peter , ynez ) 
Peter near Sarah sees Zack	sem	 see ( peter , zack ) & near ( peter , sarah ) 
Ned runs	sem	run ( ned )
Daniel by Victor sees Bob	sem	 see ( daniel , bob ) & by ( daniel , victor ) 
Claire beside Isla sees Mary	sem	 see ( claire , mary ) & beside ( claire , isla ) 
John sees himself	sem	see ( john , john )
Alice sees Kate	sem	see ( alice , kate )
Xavier runs	sem	run ( xavier )
John beside Ron sees Bob	sem	 see ( john , bob ) & beside ( john , ron ) 
Grace behind Ursa runs	sem	 run ( grace ) & behind ( grace , ursa ) 
Zack runs	sem	run ( zack )
Leo runs	sem	run ( leo )
Thomas beside Willow sees himself	sem	 see ( thomas , thomas ) & beside ( thomas , willow ) 
Sarah beside Isla sees herself	sem	 see ( sarah , sarah ) & beside ( sarah , isla ) 
Olivia by Thomas sees herself	sem	 see ( olivia , olivia ) & by ( olivia , thomas ) 
Daniel near John sees himself	sem	 see ( daniel , daniel ) & near ( daniel , john ) 
Claire by Daniel runs	sem	 run ( claire ) & by ( claire , daniel ) 
Henry behind Xavier sees Olivia	sem	 see ( henry , olivia ) & behind ( henry , xavier ) 
Ron sees Ursa	sem	see ( ron , ursa )
Sarah beside Frank sees Ned	sem	 see ( sarah , ned ) & beside ( sarah , frank ) 
Ynez by Bob runs	sem	 run ( ynez ) & by ( ynez , bob ) 
Alice sees Bob	sem	see ( alice , bob )
Xavier sees Sarah	sem	see ( xavier , sarah )
Thomas sees Xavier	sem	see ( thomas , xavier )
Thomas runs	sem	run ( thomas )
Ellie behind Kate runs	sem	 run ( ellie ) & behind ( ellie , kate ) 
Bob beside Kate sees Sarah	sem	 see ( bob , sarah ) & beside ( bob , kate ) 
Zack near Ron sees Isla	sem	 see ( zack , isla ) & near ( zack , ron ) 
Sarah runs	sem	run ( sarah )
Bob sees himself	sem	see ( bob , bob )
Bob behind Quinn runs	sem	 run ( bob ) & behind ( bob , quinn ) 
Grace runs	sem	run ( grace )
Victor by Xavier sees himself	sem	 see ( victor , victor ) & by ( victor , xavier ) 
Ynez sees Alice	sem	see ( ynez , alice )
Olivia beside Daniel sees Sarah	sem	 see ( olivia , sarah ) & beside ( olivia , daniel ) 
Alice by Claire runs	sem	 run ( alice ) & by ( alice , claire ) 
Isla behind Grace sees herself	sem	 see ( isla , isla ) & behind ( isla , grace ) 
Ursa by Xavier sees herself	sem	 see ( ursa , ursa ) & by ( ursa , xavier ) 
Ron runs	sem	run ( ron )
Xavier near Ellie runs	sem	 run ( xavier ) & near ( xavier , ellie ) 
Isla runs	sem	run ( isla )
Peter by Leo sees John	sem	 see ( peter , john ) & by ( peter , leo ) 
Isla sees Daniel	sem	see ( isla , daniel )
Ned sees himself	sem	see ( ned , ned )
Ursa behind Mary runs	sem	 run ( ursa ) & behind ( ursa , mary ) 
Leo by Mary sees Henry	sem	 see ( leo , henry ) & by ( leo , mary ) 
Thomas runs	sem	run ( thomas )
Daniel near Bob sees Sarah	sem	 see ( daniel , sarah ) & near ( daniel , bob ) 
Daniel behind Kate sees himself	sem	 see ( daniel , daniel ) & behind ( daniel , kate ) 
Claire behind Alice sees Daniel	sem	 see ( claire , daniel ) & behind ( claire , alice ) 
Frank runs	sem	run ( frank )
Victor beside Frank sees Daniel	sem	 see ( victor , daniel ) & beside ( victor , frank ) 
Leo near Victor runs	sem	 run ( leo ) & near ( leo , victor ) 
Ynez beside Peter sees herself	sem	 see ( ynez , ynez ) & beside ( ynez , peter ) 
Sarah behind Peter sees herself	sem	 see ( sarah , sarah ) & behind ( sarah , peter ) 
Isla near Peter sees Ned	sem	 see ( isla , ned ) & near ( isla , peter ) 
Mary runs	sem	run ( mary )
Frank sees Zack	sem	see ( frank , zack )
Ursa beside Frank runs	sem	 run ( ursa ) & beside ( ursa , frank ) 
Quinn sees Zack	sem	see ( quinn , zack )
Olivia by Sarah runs	sem	 run ( olivia ) & by ( olivia , sarah ) 
Daniel beside John runs	sem	 run ( daniel ) & beside ( daniel , john ) 
Ned runs	sem	run ( ned )
Mary sees herself	sem	see ( mary , mary )
Frank by Ron sees himself	sem	 see ( frank , frank ) & by ( frank , ron ) 
Zack near Quinn sees John	sem	 see ( zack , john ) & near ( zack , quinn ) 
Willow near Ned runs	sem	 run ( willow ) & near ( willow , ned ) 
Alice sees Zack	sem	see ( alice , zack )
Daniel sees Xavier	sem	see ( daniel , xavier )
Bob runs	sem	run ( bob )
Ursa runs	sem	run ( ursa )
Ellie behind Willow runs	sem	 run ( ellie ) & behind ( ellie , willow ) 
Claire behind Ellie sees herself	sem	 see ( claire , claire ) & behind ( claire , ellie ) 
Olivia by Daniel sees herself	sem	 see ( olivia , olivia ) & by ( olivia , daniel ) 
Zack runs	sem	run ( zack )
Xavier sees himself	sem	see ( xavier , xavier )
Ynez beside Quinn runs	sem	 run ( ynez ) & beside ( ynez , quinn ) 
Claire beside Ellie sees Olivia	sem	 see ( claire , olivia ) & beside ( claire , ellie ) 
Ron sees Kate	sem	see ( ron , kate )
Grace by Alice sees Daniel	sem	 see ( grace , daniel ) & by ( grace , alice ) 
Isla runs	sem	run ( isla )
Alice beside John sees Ron	sem	 see ( alice , ron ) & beside ( alice , john ) 
Xavier by Alice sees Ron	sem	 see ( xavier , ron ) & by ( xavier , alice ) 
Ron near Ellie sees Bob	sem	 see ( ron , bob ) & near ( ron , ellie ) 
Ellie runs	sem	run ( ellie )
Ned runs	sem	run ( ned )
Sarah behind Henry sees Frank	sem	 see ( sarah , frank ) & behind ( sarah , henry ) 
Bob runs	sem	run ( bob )
Leo behind Thomas sees Ned	sem	 see ( leo , ned ) & behind ( leo , thomas ) 
Sarah behind Sarah sees herself	sem	 see ( sarah , sarah ) & behind ( sarah , sarah ) 
Isla runs	sem	run ( isla )
John sees Ned	sem	see ( john , ned )
Kate runs	sem	run ( kate )
Grace by Ellie sees Isla	sem	 see ( grace , isla ) & by ( grace , ellie ) 
Claire near Willow runs	sem	 run ( claire ) & near ( claire , willow ) 
Daniel behind Frank sees Zack	sem	 see ( daniel , zack ) & behind ( daniel , frank ) 
Mary sees Willow	sem	see ( mary , willow )
Ynez near Xavier runs	sem	 run ( ynez ) & near ( ynez , xavier ) 
John behind Willow runs	sem	 run ( john ) & behind ( john , willow ) 
Kate sees Ursa	sem	see ( kate , ursa )
Mary near Ellie runs	sem	 run ( mary ) & near ( mary , ellie ) 
Alice behind Xavier sees Xavier	sem	 see ( alice , xavier ) & behind ( alice , xavier ) 
