target	prediction
snape can smile	snape can smile
neville must wiggle	neville must wiggle
dobby may smile	dobby may smile
albus must giggle	albus must giggle
lupin should swim	lupin should swim
albus should jump	albus should jump
vernon should walk	vernon should walk
she may swim	she may swim
snape can jump	snape can jump
neville must run	neville must run
snape may hiccup	snape may hiccup
lily must party	lily must party
vernon should smile	vernon should smile
voldemort must smile	voldemort must smile
ginny must smile	ginny must smile
lily must hiccup	lily must hiccup
she must hiccup	she must hiccup
he may hiccup	he may hiccup
james should party	james should party
neville should swim	neville should swim
harry may hiccup	harry may hiccup
voldemort may giggle	voldemort may giggle
harry must laugh	harry must laugh
mcgonagall should wiggle	mcgonagall should wiggle
james should walk	james should walk
ginny should jump	ginny should jump
voldemort must run	voldemort must run
albus should wiggle	albus should wiggle
george may giggle	george may giggle
ron must smile	ron must smile
petunia must laugh	petunia must laugh
she should wiggle	she should wiggle
fred should hiccup	fred should hiccup
petunia may smile	petunia may smile
sirius must jump	sirius must jump
ron should party	ron should party
he must giggle	he must giggle
george must giggle	george must giggle
he should party	he should party
sirius should run	sirius should run
lily may swim	lily may swim
she must laugh	she must laugh
dobby should walk	dobby should walk
albus must giggle	albus must giggle
voldemort must smile	voldemort must smile
james may jump	james may jump
he may wiggle	he may wiggle
petunia must swim	petunia must swim
albus should smile	albus should smile
he can walk	he can walk
fred should hiccup	fred should hiccup
draco should run	draco should run
james can hiccup	james can hiccup
harry may swim	harry may swim
fred should swim	fred should swim
vernon should jump	vernon should jump
he must hiccup	he must hiccup
hermione must walk	hermione must walk
lupin may party	lupin may party
he must walk	he must walk
hermione can walk	hermione can walk
ginny must laugh	ginny must laugh
sirius must walk	sirius must walk
mcgonagall should giggle	mcgonagall should giggle
ron should jump	ron should jump
he must party	he must party
james should walk	james should walk
she should smile	she should smile
harry may wiggle	harry may wiggle
voldemort can swim	voldemort can swim
dobby can run	dobby can run
fred should run	fred should run
neville can walk	neville can walk
vernon may hiccup	vernon may hiccup
fred must wiggle	fred must wiggle
ginny can smile	ginny can smile
draco can wiggle	draco can wiggle
draco can run	draco can run
hermione should swim	hermione should swim
she must walk	she must walk
draco must smile	draco must smile
lily may hiccup	lily may hiccup
lily can swim	lily can swim
hagrid may hiccup	hagrid may hiccup
james must giggle	james must giggle
hermione must jump	hermione must jump
vernon can wiggle	vernon can wiggle
dobby should run	dobby should run
james can swim	james can swim
draco must party	draco must party
dobby may laugh	dobby may laugh
snape should laugh	snape should laugh
hermione should giggle	hermione should giggle
fred may wiggle	fred may wiggle
voldemort can party	voldemort can party
draco should party	draco should party
lupin must swim	lupin must swim
ron can run	ron can run
james must jump	james must jump
george may swim	george may swim
voldemort can party	voldemort can party
sirius must giggle	sirius must giggle
george must swim	george must swim
lily should smile	lily should smile
ginny must hiccup	ginny must hiccup
dobby may wiggle	dobby may wiggle
she may party	she may party
she can laugh	she can laugh
neville should wiggle	neville should wiggle
vernon must walk	vernon must walk
mcgonagall can giggle	mcgonagall can giggle
petunia can giggle	petunia can giggle
snape can hiccup	snape can hiccup
james should swim	james should swim
petunia must jump	petunia must jump
ron should wiggle	ron should wiggle
george may swim	george may swim
lupin should smile	lupin should smile
fred must laugh	fred must laugh
ron may walk	ron may walk
voldemort should swim	voldemort should swim
vernon should hiccup	vernon should hiccup
hagrid may giggle	hagrid may giggle
albus can swim	albus can swim
draco must walk	draco must walk
sirius can walk	sirius can walk
snape may walk	snape may walk
sirius may run	sirius may run
mcgonagall should wiggle	mcgonagall should wiggle
dobby should walk	dobby should walk
hermione must walk	hermione must walk
dobby may party	dobby may party
lily may walk	lily may walk
lily must giggle	lily must giggle
hagrid must run	hagrid must run
he may giggle	he may giggle
draco should jump	draco should jump
lily should jump	lily should jump
vernon must party	vernon must party
lupin may hiccup	lupin may hiccup
neville must party	neville must party
lily can laugh	lily can laugh
hermione should swim	hermione should swim
ron must party	ron must party
voldemort should swim	voldemort should swim
lupin should walk	lupin should walk
draco should run	draco should run
hermione should walk	hermione should walk
george must hiccup	george must hiccup
george must giggle	george must giggle
ginny may walk	ginny may walk
george may smile	george may smile
vernon must giggle	vernon must giggle
snape must walk	snape must walk
george must walk	george must walk
ginny must wiggle	ginny must wiggle
mcgonagall must party	mcgonagall must party
ron should smile	ron should smile
draco should smile	draco should smile
lily should wiggle	lily should wiggle
sirius should run	sirius should run
fred should swim	fred should swim
ginny should wiggle	ginny should wiggle
george may wiggle	george may wiggle
sirius should laugh	sirius should laugh
he must giggle	he must giggle
snape can walk	snape can walk
harry should walk	harry should walk
lupin must walk	lupin must walk
sirius should run	sirius should run
harry should hiccup	harry should hiccup
ron can hiccup	ron can hiccup
lily can wiggle	lily can wiggle
hermione may jump	hermione may jump
hermione may laugh	hermione may laugh
lily must jump	lily must jump
hermione may smile	hermione may smile
petunia may laugh	petunia may laugh
petunia must wiggle	petunia must wiggle
fred must jump	fred must jump
george can laugh	george can laugh
fred should giggle	fred should giggle
hagrid must walk	hagrid must walk
he can laugh	he can laugh
dobby may party	dobby may party
george should jump	george should jump
george must swim	george must swim
albus must swim	albus must swim
he may hiccup	he may hiccup
hermione must laugh	hermione must laugh
james should party	james should party
ron must walk	ron must walk
fred should laugh	fred should laugh
he should swim	he should swim
hagrid can jump	hagrid can jump
lupin may jump	lupin may jump
albus may walk	albus may walk
mcgonagall should swim	mcgonagall should swim
hagrid should hiccup	hagrid should hiccup
ron may jump	ron may jump
neville can party	neville can party
neville must jump	neville must jump
vernon must run	vernon must run
ron should swim	ron should swim
james should swim	james should swim
mcgonagall must run	mcgonagall must run
he can laugh	he can laugh
lily can smile	lily can smile
ginny must hiccup	ginny must hiccup
she should laugh	she should laugh
mcgonagall can wiggle	mcgonagall can wiggle
voldemort can jump	voldemort can jump
fred must giggle	fred must giggle
ginny can hiccup	ginny can hiccup
she must smile	she must smile
ron must giggle	ron must giggle
james may hiccup	james may hiccup
he can hiccup	he can hiccup
lupin may party	lupin may party
fred must walk	fred must walk
she should party	she should party
fred should party	fred should party
ron may walk	ron may walk
mcgonagall should run	mcgonagall should run
neville must laugh	neville must laugh
albus should hiccup	albus should hiccup
hermione must jump	hermione must jump
fred can run	fred can run
harry should wiggle	harry should wiggle
sirius may walk	sirius may walk
ginny must walk	ginny must walk
he should giggle	he should giggle
ron can run	ron can run
she may swim	she may swim
neville must walk	neville must walk
james must swim	james must swim
lily can hiccup	lily can hiccup
lily should swim	lily should swim
fred must jump	fred must jump
george must jump	george must jump
ginny may giggle	ginny may giggle
fred must run	fred must run
harry can jump	harry can jump
lily should party	lily should party
sirius may wiggle	sirius may wiggle
petunia must smile	petunia must smile
fred should giggle	fred should giggle
james must run	james must run
dobby should giggle	dobby should giggle
george should giggle	george should giggle
dobby must hiccup	dobby must hiccup
dobby should run	dobby should run
fred must run	fred must run
voldemort must hiccup	voldemort must hiccup
george should swim	george should swim
snape may smile	snape may smile
harry may jump	harry may jump
petunia may hiccup	petunia may hiccup
he should party	he should party
albus must giggle	albus must giggle
ginny should walk	ginny should walk
james should run	james should run
he should laugh	he should laugh
lily should jump	lily should jump
she must giggle	she must giggle
ron must swim	ron must swim
petunia can jump	petunia can jump
hagrid may run	hagrid may run
albus can walk	albus can walk
voldemort can hiccup	voldemort can hiccup
harry must smile	harry must smile
mcgonagall may party	mcgonagall may party
ron must smile	ron must smile
hermione must run	hermione must run
fred must party	fred must party
sirius can wiggle	sirius can wiggle
harry should hiccup	harry should hiccup
petunia must swim	petunia must swim
albus must jump	albus must jump
voldemort should hiccup	voldemort should hiccup
james must swim	james must swim
ron should wiggle	ron should wiggle
hagrid must walk	hagrid must walk
mcgonagall may hiccup	mcgonagall may hiccup
sirius can laugh	sirius can laugh
hagrid must party	hagrid must party
fred should run	fred should run
she may hiccup	she may hiccup
george must smile	george must smile
george can smile	george can smile
dobby should wiggle	dobby should wiggle
hermione must hiccup	hermione must hiccup
dobby can walk	dobby can walk
hermione must swim	hermione must swim
dobby should smile	dobby should smile
dobby should laugh	dobby should laugh
draco must swim	draco must swim
he may party	he may party
ginny can wiggle	ginny can wiggle
lily may smile	lily may smile
he must smile	he must smile
vernon can swim	vernon can swim
snape must walk	snape must walk
lupin can hiccup	lupin can hiccup
albus can smile	albus can smile
hermione must laugh	hermione must laugh
fred can swim	fred can swim
vernon may jump	vernon may jump
lupin may walk	lupin may walk
he should walk	he should walk
he should wiggle	he should wiggle
voldemort can laugh	voldemort can laugh
vernon can jump	vernon can jump
fred should party	fred should party
draco can smile	draco can smile
james must giggle	james must giggle
vernon should run	vernon should run
albus should walk	albus should walk
voldemort may wiggle	voldemort may wiggle
james should swim	james should swim
harry can run	harry can run
draco should wiggle	draco should wiggle
harry must walk	harry must walk
albus should run	albus should run
he must party	he must party
harry should jump	harry should jump
ginny must laugh	ginny must laugh
petunia should wiggle	petunia should wiggle
george can laugh	george can laugh
mcgonagall should smile	mcgonagall should smile
ginny should smile	ginny should smile
she must run	she must run
he should hiccup	he should hiccup
albus must giggle	albus must giggle
draco must jump	draco must jump
she can party	she can party
vernon may giggle	vernon may giggle
hagrid can jump	hagrid can jump
petunia can laugh	petunia can laugh
sirius can smile	sirius can smile
lupin must swim	lupin must swim
he can laugh	he can laugh
snape must smile	snape must smile
draco can walk	draco can walk
fred may walk	fred may walk
he can giggle	he can giggle
ron must walk	ron must walk
lily must smile	lily must smile
he should laugh	he should laugh
draco can walk	draco can walk
george can jump	george can jump
she should laugh	she should laugh
albus should walk	albus should walk
she must party	she must party
he can hiccup	he can hiccup
she can not jump	she can not jump
the wizard may jump	the wizard may jump
she may not wiggle	she may not wiggle
lupin must party	lupin must party
lupin should run	lupin should run
she should not giggle	she should not giggle
petunia can not run	petunia can not run
vernon must not wiggle	vernon must not wiggle
a witch may party	a witch may party
the professor can run	the professor can run
james should not giggle	james should not giggle
snape can not laugh	snape can not laugh
the professor must laugh	the professor must laugh
petunia may not run	petunia may not run
she should not walk	she should not walk
harry must not smile	harry must not smile
james should not smile	james should not smile
a student should laugh	a student should laugh
george may not giggle	george may not giggle
hagrid should not walk	hagrid should not walk
albus may not laugh	albus may not laugh
ginny should not smile	ginny should not smile
albus should not party	albus should not party
he may not giggle	he may not giggle
hermione may not wiggle	hermione may not wiggle
george should not walk	george should not walk
he must not wiggle	he must not wiggle
a wizard can jump	a wizard can jump
petunia may not wiggle	petunia may not wiggle
hermione may not walk	hermione may not walk
hagrid can not giggle	hagrid can not giggle
dobby must not smile	dobby must not smile
vernon may not walk	vernon may not walk
lupin may not walk	lupin may not walk
snape should not hiccup	snape should not hiccup
the student can jump	the student can jump
ron should not hiccup	ron should not hiccup
she should not walk	she should not walk
james can not wiggle	james can not wiggle
vernon should not jump	vernon should not jump
neville may not smile	neville may not smile
she may not swim	she may not swim
voldemort must not hiccup	voldemort must not hiccup
fred may not walk	fred may not walk
lily must not jump	lily must not jump
draco can not hiccup	draco can not hiccup
a wizard can jump	a wizard can jump
a witch must run	a witch must run
james should not swim	james should not swim
fred should not swim	fred should not swim
ginny may not walk	ginny may not walk
she can not wiggle	she can not wiggle
mcgonagall must not swim	mcgonagall must not swim
lily can not wiggle	lily can not wiggle
lupin may not jump	lupin may not jump
albus must not party	albus must not party
mcgonagall should not giggle	mcgonagall should not giggle
dobby must not wiggle	dobby must not wiggle
george can not run	george can not run
a student must walk	a student must walk
sirius must not giggle	sirius must not giggle
voldemort should not wiggle	voldemort should not wiggle
harry should not hiccup	harry should not hiccup
dobby should not giggle	dobby should not giggle
a witch should party	a witch should party
hermione must not wiggle	hermione must not wiggle
sirius can not smile	sirius can not smile
snape can not hiccup	snape can not hiccup
the professor should party	the professor should party
harry should not wiggle	harry should not wiggle
fred should not party	fred should not party
ginny can not party	ginny can not party
draco can not walk	draco can not walk
hagrid should not hiccup	hagrid should not hiccup
hermione must not run	hermione must not run
snape must not walk	snape must not walk
petunia must not jump	petunia must not jump
vernon must not swim	vernon must not swim
the professor can swim	the professor can swim
the student should walk	the student should walk
james should not laugh	james should not laugh
she may not jump	she may not jump
hagrid may not jump	hagrid may not jump
harry may not walk	harry may not walk
a student should smile	a student should smile
he may not walk	he may not walk
george can not party	george can not party
a witch can jump	a witch can jump
hermione should not jump	hermione should not jump
mcgonagall should not walk	mcgonagall should not walk
the student should wiggle	the student should wiggle
neville may not walk	neville may not walk
he can not jump	he can not jump
petunia can not walk	petunia can not walk
james must not wiggle	james must not wiggle
hermione may not swim	hermione may not swim
harry can not walk	harry can not walk
ron must not smile	ron must not smile
ginny can not jump	ginny can not jump
neville must not jump	neville must not jump
draco must not walk	draco must not walk
vernon should not giggle	vernon should not giggle
the professor can jump	the professor can jump
a student must party	a student must party
voldemort must not smile	voldemort must not smile
the professor must party	the professor must party
ginny can not jump	ginny can not jump
a student should giggle	a student should giggle
james must not smile	james must not smile
james may not laugh	james may not laugh
hagrid should not walk	hagrid should not walk
the student should wiggle	the student should wiggle
snape should not run	snape should not run
a professor should hiccup	a professor should hiccup
she must not smile	she must not smile
a professor should party	a professor should party
a student should giggle	a student should giggle
hagrid should not hiccup	hagrid should not hiccup
draco must not laugh	draco must not laugh
harry must not walk	harry must not walk
she must not run	she must not run
neville must not jump	neville must not jump
she should not hiccup	she should not hiccup
voldemort can not walk	voldemort can not walk
dobby must not jump	dobby must not jump
a wizard can run	a wizard can run
dobby should not run	dobby should not run
ginny can not swim	ginny can not swim
a witch should party	a witch should party
snape must not jump	snape must not jump
james may not jump	james may not jump
the student may jump	the student may jump
james can not walk	james can not walk
voldemort may not hiccup	voldemort may not hiccup
snape must not jump	snape must not jump
sirius can not party	sirius can not party
snape can not jump	snape can not jump
albus should not jump	albus should not jump
she should not swim	she should not swim
a student must hiccup	a student must hiccup
draco must not party	draco must not party
dobby must not party	dobby must not party
james should not laugh	james should not laugh
james can not hiccup	james can not hiccup
snape may not jump	snape may not jump
george should not jump	george should not jump
a wizard may wiggle	a wizard may wiggle
hagrid can not smile	hagrid can not smile
hermione should not hiccup	hermione should not hiccup
ron should not giggle	ron should not giggle
she should not hiccup	she should not hiccup
draco should not laugh	draco should not laugh
petunia may not wiggle	petunia may not wiggle
draco may not run	draco may not run
sirius can not wiggle	sirius can not wiggle
he should not swim	he should not swim
the witch must jump	the witch must jump
petunia must not smile	petunia must not smile
a professor can smile	a professor can smile
a witch should hiccup	a witch should hiccup
ginny must not giggle	ginny must not giggle
snape should not run	snape should not run
a student must hiccup	a student must hiccup
the professor should walk	the professor should walk
a witch can laugh	a witch can laugh
ginny must not wiggle	ginny must not wiggle
hermione may not hiccup	hermione may not hiccup
ginny should not walk	ginny should not walk
hermione may not swim	hermione may not swim
the wizard should party	the wizard should party
the student must party	the student must party
harry can not hiccup	harry can not hiccup
petunia can not party	petunia can not party
a witch may wiggle	a witch may wiggle
lily may not giggle	lily may not giggle
ron must not hiccup	ron must not hiccup
hagrid can not smile	hagrid can not smile
he may not wiggle	he may not wiggle
james should not giggle	james should not giggle
fred should not wiggle	fred should not wiggle
george should not giggle	george should not giggle
james should not swim	james should not swim
fred may not party	fred may not party
ron can not laugh	ron can not laugh
a student may walk	a student may walk
a wizard must smile	a wizard must smile
ron can not smile	ron can not smile
the wizard can jump	the wizard can jump
hagrid can not smile	hagrid can not smile
draco can not party	draco can not party
harry must not wiggle	harry must not wiggle
ginny can not hiccup	ginny can not hiccup
vernon must not run	vernon must not run
he must not laugh	he must not laugh
ron should not swim	ron should not swim
the student should swim	the student should swim
the wizard may smile	the wizard may smile
ron must not swim	ron must not swim
hagrid must not swim	hagrid must not swim
sirius should not laugh	sirius should not laugh
lily may not swim	lily may not swim
she can not wiggle	she can not wiggle
mcgonagall may not jump	mcgonagall may not jump
she can not run	she can not run
ron can not wiggle	ron can not wiggle
hermione can not wiggle	hermione can not wiggle
he may not wiggle	he may not wiggle
albus may not wiggle	albus may not wiggle
james should not wiggle	james should not wiggle
george may not swim	george may not swim
the student may giggle	the student may giggle
he must not smile	he must not smile
the professor should jump	the professor should jump
lily should not smile	lily should not smile
harry must not wiggle	harry must not wiggle
albus can not wiggle	albus can not wiggle
albus must not giggle	albus must not giggle
fred must not hiccup	fred must not hiccup
ron must not smile	ron must not smile
sirius must not walk	sirius must not walk
neville must not wiggle	neville must not wiggle
ginny may not jump	ginny may not jump
the student may jump	the student may jump
she must not hiccup	she must not hiccup
neville can not jump	neville can not jump
the professor can walk	the professor can walk
he should not party	he should not party
he can not party	he can not party
a wizard must smile	a wizard must smile
hagrid must not smile	hagrid must not smile
george must not jump	george must not jump
he may not wiggle	he may not wiggle
the wizard may wiggle	the wizard may wiggle
a wizard may smile	a wizard may smile
ron should not jump	ron should not jump
hagrid may not smile	hagrid may not smile
harry should not run	harry should not run
ron should not party	ron should not party
dobby should not run	dobby should not run
dobby should not smile	dobby should not smile
a witch should run	a witch should run
vernon should not swim	vernon should not swim
james may not swim	james may not swim
george must not party	george must not party
a wizard must walk	a wizard must walk
draco must not jump	draco must not jump
petunia can not run	petunia can not run
mcgonagall may not swim	mcgonagall may not swim
he can not jump	he can not jump
sirius must not party	sirius must not party
the witch may walk	the witch may walk
the student can swim	the student can swim
voldemort must not laugh	voldemort must not laugh
hagrid should not party	hagrid should not party
the professor must run	the professor must run
he can not walk	he can not walk
lupin should not wiggle	lupin should not wiggle
mcgonagall should not smile	mcgonagall should not smile
the witch must party	the witch must party
albus must not hiccup	albus must not hiccup
lupin can not jump	lupin can not jump
snape can not giggle	snape can not giggle
hagrid should not giggle	hagrid should not giggle
the wizard should wiggle	the wizard should wiggle
the student may giggle	the student may giggle
she can not run	she can not run
she may not wiggle	she may not wiggle
hagrid can not party	hagrid can not party
a witch should hiccup	a witch should hiccup
sirius must not walk	sirius must not walk
lupin must not hiccup	lupin must not hiccup
vernon must not swim	vernon must not swim
she must not smile	she must not smile
the wizard must giggle	the wizard must giggle
george should not run	george should not run
fred must not giggle	fred must not giggle
hagrid can not walk	hagrid can not walk
a student must smile	a student must smile
he can not wiggle	he can not wiggle
sirius may not swim	sirius may not swim
voldemort must not giggle	voldemort must not giggle
snape should not giggle	snape should not giggle
a professor must smile	a professor must smile
ron can not smile	ron can not smile
a wizard must smile	a wizard must smile
harry can not walk	harry can not walk
draco may not giggle	draco may not giggle
mcgonagall must not run	mcgonagall must not run
hermione must not run	hermione must not run
hagrid should not jump	hagrid should not jump
lupin should not smile	lupin should not smile
snape can not wiggle	snape can not wiggle
neville must not giggle	neville must not giggle
george can not walk	george can not walk
ron must not smile	ron must not smile
snape can not giggle	snape can not giggle
the student must party	the student must party
he may not wiggle	he may not wiggle
voldemort can not wiggle	voldemort can not wiggle
lupin may not wiggle	lupin may not wiggle
ron may not hiccup	ron may not hiccup
a student should jump	a student should jump
the professor should swim	the professor should swim
he can not laugh	he can not laugh
james may not walk	james may not walk
mcgonagall can not swim	mcgonagall can not swim
she may not run	she may not run
she should not jump	she should not jump
hermione should not party	hermione should not party
a student can walk	a student can walk
ron should not party	ron should not party
a witch should party	a witch should party
the witch may walk	the witch may walk
a professor must laugh	a professor must laugh
albus may not hiccup	albus may not hiccup
the wizard must wiggle	the wizard must wiggle
she may not jump	she may not jump
lily must not walk	lily must not walk
hermione should not party	hermione should not party
a student may walk	a student may walk
the professor must giggle	the professor must giggle
albus must not giggle	albus must not giggle
james must not walk	james must not walk
she must not party	she must not party
george may not giggle	george may not giggle
albus should not hiccup	albus should not hiccup
dobby must not laugh	dobby must not laugh
petunia must not giggle	petunia must not giggle
snape can not walk	snape can not walk
vernon can not smile	vernon can not smile
dobby may not walk	dobby may not walk
lily should not swim	lily should not swim
lupin must not run	lupin must not run
james must not walk	james must not walk
she may not swim	she may not swim
a student can giggle	a student can giggle
sirius can not laugh	sirius can not laugh
snape should not laugh	snape should not laugh
dobby must not party	dobby must not party
albus can not giggle	albus can not giggle
ron must not giggle	ron must not giggle
a professor should hiccup	a professor should hiccup
ron should not smile	ron should not smile
george should not swim	george should not swim
a wizard can wiggle	a wizard can wiggle
mcgonagall should not run	mcgonagall should not run
vernon must not smile	vernon must not smile
draco should not hiccup	draco should not hiccup
ron must not laugh	ron must not laugh
fred can not party	fred can not party
sirius must not walk	sirius must not walk
a professor should run	a professor should run
a wizard may run	a wizard may run
albus should not laugh	albus should not laugh
fred may not party	fred may not party
neville may not hiccup	neville may not hiccup
the witch can wiggle	the witch can wiggle
hermione must not hiccup	hermione must not hiccup
vernon must not smile	vernon must not smile
draco must not party	draco must not party
the student may laugh	the student may laugh
hermione may not run	hermione may not run
mcgonagall can not party	mcgonagall can not party
the student should wiggle	the student should wiggle
ron can not giggle	ron can not giggle
he can not jump	he can not jump
mcgonagall may not giggle	mcgonagall may not giggle
neville can not run	neville can not run
george may not swim	george may not swim
he should not hiccup	he should not hiccup
neville should not party	neville should not party
the student should smile	the student should smile
he can not giggle	he can not giggle
sirius can not run	sirius can not run
he may not walk	he may not walk
george should not smile	george should not smile
fred can not jump	fred can not jump
sirius can not jump	sirius can not jump
lupin can not hiccup	lupin can not hiccup
lupin must not laugh	lupin must not laugh
sirius should not wiggle	sirius should not wiggle
the witch may swim	the witch may swim
hagrid should not wiggle	hagrid should not wiggle
sirius should not smile	sirius should not smile
albus should not party	albus should not party
he should not run	he should not run
a student can smile	a student can smile
james should not giggle	james should not giggle
voldemort can not party	voldemort can not party
the professor may laugh	the professor may laugh
fred may not laugh	fred may not laugh
george should not jump	george should not jump
petunia should not swim	petunia should not swim
voldemort can not hiccup	voldemort can not hiccup
the professor must swim	the professor must swim
mcgonagall may not wiggle	mcgonagall may not wiggle
a witch can walk	a witch can walk
lupin may not party	lupin may not party
lupin can not wiggle	lupin can not wiggle
harry must not party	harry must not party
snape must not laugh	snape must not laugh
draco can not party	draco can not party
harry should not party	harry should not party
petunia may not party	petunia may not party
hagrid should not smile	hagrid should not smile
hagrid should not jump	hagrid should not jump
a student must jump	a student must jump
hermione must not run	hermione must not run
hermione can not laugh	hermione can not laugh
he should not party	he should not party
lily can not swim	lily can not swim
neville must not swim	neville must not swim
mcgonagall should not wiggle	mcgonagall should not wiggle
a student can smile	a student can smile
draco can not laugh	draco can not laugh
a professor may hiccup	a professor may hiccup
sirius may not run	sirius may not run
lily must not jump	lily must not jump
dobby can not swim	dobby can not swim
fred must not party	fred must not party
petunia must not hiccup	petunia must not hiccup
lily should not party	lily should not party
snape should not swim	snape should not swim
sirius may not jump	sirius may not jump
he must not walk	he must not walk
he should not jump	he should not jump
hagrid must not swim	hagrid must not swim
ginny must not walk	ginny must not walk
james may not smile	james may not smile
snape can not laugh	snape can not laugh
james must not hiccup	james must not hiccup
